Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,45.000000,45.310001,44.619999,45.209999,43.696064,5741700
2019-08-06,45.320000,45.439999,44.580002,45.060001,43.551086,4097000
2019-08-07,44.939999,45.680000,44.750000,45.419998,43.899029,3493200
2019-08-08,45.619999,46.709999,45.410000,46.450001,44.894539,4345600
2019-08-09,46.330002,46.330002,45.430000,46.000000,44.459610,3453600
2019-08-12,45.930000,45.930000,45.330002,45.549999,44.024677,3118200
2019-08-13,45.310001,46.119999,45.009998,45.939999,44.401615,3185700
2019-08-14,45.200001,45.299999,44.369999,44.709999,43.212803,4936000
2019-08-15,44.790001,44.860001,43.970001,44.299999,42.816536,3488300
2019-08-16,44.619999,45.150002,44.450001,44.930000,43.425438,2083100
2019-08-19,45.849998,46.049999,45.650002,45.740002,44.208313,2487500
2019-08-20,45.369999,45.549999,45.090000,45.349998,43.831375,2817900
2019-08-21,45.869999,45.980000,45.549999,45.950001,44.411282,3383700
2019-08-22,45.680000,45.790001,44.849998,45.090000,44.059509,3170100
2019-08-23,45.220001,45.270000,43.189999,43.279999,42.290874,3779300
2019-08-26,43.619999,43.880001,43.270000,43.480000,42.486305,3275300
2019-08-27,43.730000,43.970001,43.020000,43.029999,42.046589,4200100
2019-08-28,42.660000,43.520000,42.419998,43.400002,42.408134,2405800
2019-08-29,43.860001,44.439999,43.820000,44.000000,42.994419,2522700
2019-08-30,44.119999,44.320000,43.970001,44.080002,43.072594,3176000
2019-09-03,43.820000,43.860001,42.919998,43.669998,42.671959,3308900
2019-09-04,43.939999,44.459999,43.520000,43.889999,42.886932,3186500
2019-09-05,44.250000,45.310001,44.250000,45.110001,44.079052,2524200
2019-09-06,45.110001,45.889999,45.009998,45.720001,44.675114,3456300
2019-09-09,45.570000,47.660000,45.570000,47.610001,46.521919,6328100
2019-09-10,48.279999,49.689999,48.119999,49.660000,48.525066,7331700
2019-09-11,49.369999,49.930000,48.610001,49.709999,48.573925,6314200
2019-09-12,49.599998,49.970001,48.810001,49.619999,48.485981,4216300
2019-09-13,50.250000,50.869999,50.160000,50.549999,49.394722,4124500
2019-09-16,49.000000,49.759998,48.540001,48.919998,47.801975,5847100
2019-09-17,48.299999,49.430000,48.060001,49.369999,48.241692,3742100
2019-09-18,48.860001,49.029999,48.380001,48.840000,47.723808,3218700
2019-09-19,48.889999,48.950001,48.299999,48.380001,47.274319,3092500
2019-09-20,48.570000,48.639999,47.770000,48.220001,47.117977,4478000
2019-09-23,47.880001,47.900002,46.889999,47.700001,46.609863,3404800
2019-09-24,48.070000,48.790001,47.380001,47.619999,46.531685,3611600
2019-09-25,46.970001,48.060001,46.900002,48.060001,46.961636,3881800
2019-09-26,45.500000,45.730000,43.599998,43.950001,42.945564,12694600
2019-09-27,43.099998,44.209999,43.090000,43.580002,42.584019,7540600
2019-09-30,43.810001,44.119999,43.520000,43.709999,42.711044,4732500
2019-10-01,43.799999,44.169998,42.150002,42.490002,41.518932,6694400
2019-10-02,42.150002,42.160000,41.430000,41.439999,40.492924,6393600
2019-10-03,41.259998,41.389999,40.599998,41.000000,40.062981,7156700
2019-10-04,41.049999,41.330002,40.830002,41.139999,40.199783,5147900
2019-10-07,40.810001,41.349998,40.529999,40.910000,39.975037,5719700
2019-10-08,40.400002,40.470001,39.919998,40.130001,39.212864,4290600
2019-10-09,40.529999,40.790001,40.330002,40.529999,39.603725,3492400
2019-10-10,40.820000,41.450001,40.750000,40.950001,40.014126,4233000
2019-10-11,41.930000,42.320000,41.529999,41.549999,40.600414,5951400
2019-10-14,41.470001,42.240002,41.340000,42.040001,41.079216,4069100
2019-10-15,42.070000,42.869999,41.930000,42.490002,41.518932,2944800
2019-10-16,42.650002,42.889999,42.180000,42.389999,41.421215,2776900
2019-10-17,42.400002,42.750000,42.150002,42.439999,41.470070,3168500
2019-10-18,42.349998,42.970001,42.310001,42.790001,41.812077,5269400
2019-10-21,43.070000,43.520000,42.970001,43.119999,42.134533,4574000
2019-10-22,43.139999,43.240002,42.529999,42.549999,41.577557,3898100
2019-10-23,43.029999,44.080002,42.639999,44.000000,42.994419,7283100
2019-10-24,44.049999,44.090000,43.189999,43.900002,42.896709,4187300
2019-10-25,43.900002,44.820000,43.880001,44.570000,43.551392,2730400
2019-10-28,44.590000,44.860001,44.130001,44.180000,43.170307,2764400
2019-10-29,44.639999,44.700001,44.150002,44.160000,43.150761,3297400
2019-10-30,44.490002,44.490002,42.959999,43.209999,42.222473,4253700
2019-10-31,43.130001,43.240002,42.459999,42.889999,41.909786,5084600
2019-11-01,43.230000,43.320000,42.869999,42.950001,41.968418,4303000
2019-11-04,43.250000,44.369999,43.250000,44.209999,43.199619,4211500
2019-11-05,44.360001,45.320000,44.310001,44.860001,43.834766,3851900
2019-11-06,44.869999,44.910000,44.220001,44.369999,43.355961,3075500
2019-11-07,44.889999,45.340000,44.669998,45.049999,44.020424,3818000
2019-11-08,44.599998,45.049999,44.259998,45.049999,44.020424,2709900
2019-11-11,44.639999,45.009998,44.419998,44.680000,43.658882,2295000
2019-11-12,44.959999,45.040001,44.250000,44.480000,43.463451,2249400
2019-11-13,44.259998,44.380001,43.869999,44.060001,43.053051,2564900
2019-11-14,44.160000,44.500000,43.950001,44.439999,43.424366,1933800
2019-11-15,44.849998,45.080002,44.560001,44.849998,43.824993,2187500
2019-11-18,44.799999,44.930000,44.459999,44.700001,43.678421,2196500
2019-11-19,44.959999,45.049999,44.480000,44.490002,43.473221,2503500
2019-11-20,44.040001,44.150002,43.509998,43.669998,42.671959,3082200
2019-11-21,42.900002,43.279999,42.470001,43.020000,42.523693,3770400
2019-11-22,43.529999,43.930000,43.240002,43.680000,43.176079,3971000
2019-11-25,43.880001,44.619999,43.840000,44.500000,43.986618,3054600
2019-11-26,44.709999,44.750000,44.139999,44.680000,44.164543,3217700
2019-11-27,44.990002,45.299999,44.790001,45.220001,44.698315,4832600
2019-11-29,45.220001,45.360001,45.009998,45.080002,44.559929,1913100
2019-12-02,45.160000,45.180000,44.439999,44.490002,43.976734,3377400
2019-12-03,43.849998,43.849998,43.270000,43.540001,43.037693,3091800
2019-12-04,43.549999,44.340000,43.549999,43.880001,43.373772,2644600
2019-12-05,44.400002,44.500000,43.869999,44.200001,43.690079,3152100
2019-12-06,44.869999,45.119999,44.720001,44.770000,44.253506,3682400
2019-12-09,45.070000,45.520000,44.950001,45.410000,44.886120,3205500
2019-12-10,45.060001,45.410000,44.880001,45.320000,44.797157,3698300
2019-12-11,45.459999,45.910000,45.380001,45.790001,45.261738,2839000
2019-12-12,45.880001,46.959999,45.759998,46.900002,46.358932,5272500
2019-12-13,47.160000,48.000000,47.110001,47.450001,46.902588,6957400
2019-12-16,48.060001,48.060001,46.860001,46.990002,46.447895,4590100
2019-12-17,46.759998,47.310001,46.540001,47.200001,46.655472,3246200
2019-12-18,46.950001,47.160000,46.570000,46.580002,46.042625,6584400
2019-12-19,46.689999,47.029999,46.570000,46.650002,46.111816,4477400
2019-12-20,48.900002,51.209999,48.259998,50.209999,49.630745,15867400
