Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,353.399994,360.589996,351.350006,352.200012,352.200012,689930000
1990-01-08,352.200012,354.239990,339.489990,339.929993,339.929993,809580000
1990-01-15,339.929993,342.010010,333.369995,339.149994,339.149994,861310000
1990-01-22,339.140015,339.959991,321.440002,325.799988,325.799988,905970000
1990-01-29,325.799988,332.100006,319.829987,330.920013,330.920013,845440000
1990-02-05,330.920013,336.089996,326.549988,333.619995,333.619995,774880000
1990-02-12,333.619995,335.640015,327.920013,332.720001,332.720001,742870000
1990-02-19,332.720001,332.720001,322.100006,324.149994,324.149994,639350000
1990-02-26,324.160004,335.540009,323.980011,335.540009,335.540009,808150000
1990-03-05,335.540009,340.660004,333.489990,337.929993,337.929993,768640000
1990-03-12,337.929993,341.910004,334.929993,341.910004,341.910004,772220000
1990-03-19,341.910004,344.489990,333.619995,337.220001,337.220001,758610000
1990-03-26,337.220001,342.579987,337.029999,339.940002,339.940002,661550000
1990-04-02,339.940002,344.119995,336.329987,340.079987,340.079987,719860000
1990-04-09,340.079987,344.790009,339.880005,344.339996,344.339996,534540000
1990-04-16,344.339996,347.299988,333.410004,335.119995,335.119995,745120000
1990-04-23,335.119995,335.119995,328.709991,329.109985,329.109985,678950000
1990-04-30,329.109985,338.459991,327.760010,338.390015,338.390015,699490000
1990-05-07,338.390015,352.309998,338.109985,352.000000,352.000000,821710000
1990-05-14,352.000000,358.410004,351.950012,354.640015,354.640015,878240000
1990-05-21,354.640015,360.500000,353.779999,354.579987,354.579987,817350000
1990-05-28,354.579987,363.519989,354.549988,363.160004,363.160004,690500000
1990-06-04,363.160004,368.779999,357.679993,358.709991,358.709991,842230000
1990-06-11,358.709991,367.269989,357.700012,362.910004,362.910004,776460000
1990-06-18,362.910004,363.200012,355.309998,355.429993,355.429993,716960000
1990-06-25,355.420013,359.089996,351.230011,358.019989,358.019989,702770000
1990-07-02,358.019989,360.730011,354.640015,358.420013,358.420013,500300000
1990-07-09,358.420013,369.679993,356.410004,367.309998,367.309998,858020000
1990-07-16,367.309998,369.779999,361.290009,361.609985,361.609985,834780000
