Date,tmax
1980-01-01,33.666666666666664
1980-02-01,31.896551724137932
1980-03-01,44.58064516129032
1980-04-01,58.333333333333336
1980-05-01,70.87096774193549
1980-06-01,77.63333333333334
1980-07-01,85.16129032258064
1980-08-01,83.19354838709677
1980-09-01,78.13333333333334
1980-10-01,58.61290322580645
1980-11-01,46.266666666666666
1980-12-01,36.193548387096776
1981-01-01,27.967741935483872
1981-02-01,41.17857142857143
1981-03-01,44.354838709677416
1981-04-01,63.4
1981-05-01,69.80645161290323
1981-06-01,79.5
1981-07-01,81.96774193548387
1981-08-01,80.12903225806451
1981-09-01,71.3
1981-10-01,59.645161290322584
1981-11-01,49.56666666666667
1981-12-01,34.935483870967744
1982-01-01,29.64516129032258
1982-02-01,36.392857142857146
1982-03-01,48.45161290322581
1982-04-01,57.36666666666667
1982-05-01,76.80645161290323
1982-06-01,73.83333333333333
1982-07-01,82.90322580645162
1982-08-01,78.83870967741936
1982-09-01,73.53333333333333
1982-10-01,64.38709677419355
1982-11-01,52.63333333333333
1982-12-01,47.96774193548387
1983-01-01,36.32258064516129
1983-02-01,41.17857142857143
1983-03-01,50.03225806451613
1983-04-01,55.733333333333334
1983-05-01,66.83870967741936
1983-06-01,78.83333333333333
1983-07-01,83.90322580645162
1983-08-01,83.2258064516129
1983-09-01,75.93333333333334
1983-10-01,62.41935483870968
1983-11-01,51.9
1983-12-01,31.774193548387096
1984-01-01,30.612903225806452
1984-02-01,45.3448275862069
1984-03-01,41.12903225806452
1984-04-01,59.2
1984-05-01,65.58064516129032
1984-06-01,81.93333333333334
1984-07-01,79.41935483870968
1984-08-01,80.45161290322581
1984-09-01,72.73333333333333
1984-10-01,67.03225806451613
1984-11-01,49.63333333333333
1984-12-01,48.03225806451613
1985-01-01,28.70967741935484
1985-02-01,36.17857142857143
1985-03-01,52.806451612903224
1985-04-01,66.76666666666667
1985-05-01,72.25806451612904
1985-06-01,75.1
1985-07-01,80.90322580645162
1985-08-01,79.54838709677419
1985-09-01,77.36666666666666
1985-10-01,65.19354838709677
1985-11-01,53.666666666666664
1985-12-01,34.903225806451616
1986-01-01,35.45161290322581
1986-02-01,37.67857142857143
1986-03-01,51.67741935483871
1986-04-01,64.46666666666667
1986-05-01,72.3225806451613
1986-06-01,78.73333333333333
1986-07-01,82.80645161290323
1986-08-01,78.80645161290323
1986-09-01,76.76666666666667
1986-10-01,63.74193548387097
1986-11-01,47.93333333333333
1986-12-01,39.064516129032256
1987-01-01,34.29032258064516
1987-02-01,41.214285714285715
1987-03-01,53.193548387096776
1987-04-01,60.13333333333333
1987-05-01,75.12903225806451
1987-06-01,81.7
1987-07-01,85.64516129032258
1987-08-01,81.6774193548387
1987-09-01,73.93333333333334
1987-10-01,58.25806451612903
1987-11-01,55.36666666666667
1987-12-01,41.32258064516129
1988-01-01,35.54838709677419
1988-02-01,38.06896551724138
1988-03-01,49.87096774193548
1988-04-01,60.233333333333334
1988-05-01,73.29032258064517
1988-06-01,81.66666666666667
1988-07-01,89.2258064516129
1988-08-01,86.06451612903226
1988-09-01,74.3
1988-10-01,56.12903225806452
1988-11-01,53.53333333333333
1988-12-01,40.41935483870968
1989-01-01,44.29032258064516
1989-02-01,35.142857142857146
1989-03-01,52.354838709677416
1989-04-01,57.56666666666667
1989-05-01,66.51612903225806
1989-06-01,78.0
1989-07-01,83.35483870967742
1989-08-01,82.35483870967742
1989-09-01,74.73333333333333
1989-10-01,64.29032258064517
1989-11-01,50.03333333333333
1989-12-01,26.451612903225808
1990-01-01,44.67741935483871
1990-02-01,47.107142857142854
1990-03-01,54.16129032258065
1990-04-01,62.36666666666667
1990-05-01,67.0
1990-06-01,78.63333333333334
1990-07-01,81.12903225806451
1990-08-01,80.2258064516129
1990-09-01,73.06666666666666
1990-10-01,64.70967741935483
1990-11-01,55.03333333333333
1990-12-01,46.70967741935484
1991-01-01,37.41935483870968
1991-02-01,43.642857142857146
1991-03-01,52.38709677419355
1991-04-01,64.4
1991-05-01,80.0
1991-06-01,84.23333333333333
1991-07-01,85.83870967741936
1991-08-01,85.96774193548387
1991-09-01,76.33333333333333
1991-10-01,67.2258064516129
1991-11-01,49.56666666666667
1991-12-01,43.38709677419355
1992-01-01,37.96774193548387
1992-02-01,42.13793103448276
1992-03-01,48.064516129032256
1992-04-01,61.4
1992-05-01,70.45161290322581
1992-06-01,77.33333333333333
1992-07-01,81.19354838709677
1992-08-01,77.61290322580645
1992-09-01,73.73333333333333
1992-10-01,61.064516129032256
1992-11-01,49.266666666666666
1992-12-01,40.645161290322584
1993-01-01,41.774193548387096
1993-02-01,36.357142857142854
1993-03-01,45.516129032258064
1993-04-01,60.666666666666664
1993-05-01,73.09677419354838
1993-06-01,79.46666666666667
1993-07-01,86.19354838709677
1993-08-01,86.7741935483871
1993-09-01,72.53333333333333
1993-10-01,62.354838709677416
1993-11-01,51.06666666666667
1993-12-01,37.83870967741935
1994-01-01,28.806451612903224
1994-02-01,38.714285714285715
1994-03-01,46.483870967741936
1994-04-01,66.03333333333333
1994-05-01,68.06451612903226
1994-06-01,85.13333333333334
1994-07-01,84.25806451612904
1994-08-01,79.61290322580645
1994-09-01,74.0
1994-10-01,64.38709677419355
1994-11-01,57.333333333333336
1994-12-01,46.225806451612904
1995-01-01,38.38709677419355
1995-02-01,35.82142857142857
1995-03-01,53.903225806451616
1995-04-01,59.9
1995-05-01,70.74193548387096
1995-06-01,83.06666666666666
1995-07-01,86.09677419354838
1995-08-01,89.06451612903226
1995-09-01,75.66666666666667
1995-10-01,67.06451612903226
