Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,53.509998,53.750000,51.110001,52.610001,50.840229,23689000
2017-03-27,52.000000,54.540001,51.700001,53.759998,51.951557,21352800
2017-04-03,53.720001,54.869999,52.880001,54.540001,52.705307,23224800
2017-04-10,54.400002,56.570000,53.590000,54.310001,52.483051,20864000
2017-04-17,54.450001,56.150002,53.810001,55.630001,53.758640,17460600
2017-04-24,56.200001,57.840000,54.520000,56.220001,54.328800,29565600
2017-05-01,56.520000,58.650002,56.169998,58.400002,56.435463,19345900
2017-05-08,58.500000,58.730000,57.090000,57.220001,55.295158,18825000
2017-05-15,57.240002,58.619999,56.830002,58.040001,56.087570,19613500
2017-05-22,58.400002,61.189999,58.259998,60.669998,58.629105,23535700
2017-05-29,60.560001,61.240002,59.130001,60.360001,58.329533,17894900
2017-06-05,60.200001,61.189999,58.410000,59.459999,57.459805,28394800
2017-06-12,59.459999,60.570000,57.630001,60.290001,58.358570,26581900
2017-06-19,60.639999,62.290001,60.240002,61.919998,59.936348,24316700
2017-06-26,62.099998,62.750000,61.230000,62.139999,60.149296,16165800
2017-07-03,62.520000,64.389999,62.049999,64.239998,62.182018,13845700
2017-07-10,62.939999,63.910000,61.400002,61.930000,59.946030,23654400
2017-07-17,61.930000,62.459999,59.889999,60.279999,58.348888,27416300
2017-07-24,60.250000,60.439999,53.770000,56.560001,54.748058,36353100
2017-07-31,56.900002,57.000000,55.110001,56.580002,54.767422,21509800
2017-08-07,56.770000,56.869999,52.970001,54.139999,52.405590,24279400
2017-08-14,54.599998,55.720001,53.110001,53.169998,51.466656,23407400
2017-08-21,53.400002,54.080002,50.490002,52.680000,50.992367,41207600
2017-08-28,52.610001,52.720001,50.900002,52.189999,50.636276,26603800
2017-09-04,51.810001,53.029999,49.759998,52.869999,51.296024,24814400
2017-09-11,53.389999,54.830002,52.450001,54.720001,53.090965,41656700
2017-09-18,54.820000,55.029999,53.430000,54.930000,53.294701,21713800
2017-09-25,54.840000,56.650002,54.430000,55.980000,54.313446,24111800
2017-10-02,56.020000,59.570000,55.599998,58.439999,56.700207,26027000
2017-10-09,58.500000,59.400002,57.389999,59.119999,57.359970,19655200
2017-10-16,58.950001,59.810001,57.450001,59.369999,57.602524,21945900
2017-10-23,59.500000,59.889999,53.540001,54.110001,52.499119,42774600
2017-10-30,54.040001,55.099998,53.450001,54.139999,52.528225,19117300
2017-11-06,54.090000,55.150002,53.240002,53.490002,51.897575,16448200
2017-11-13,53.380001,55.500000,52.779999,54.709999,53.081253,18593500
2017-11-20,54.849998,55.549999,54.200001,55.139999,53.498455,12744900
2017-11-27,55.139999,61.639999,54.490002,59.919998,58.136147,39062700
2017-12-04,61.660000,63.959999,60.660000,63.330002,61.444641,26616500
2017-12-11,63.480000,64.919998,62.919998,64.699997,62.901241,23318100
2017-12-18,65.099998,66.989998,64.750000,65.970001,64.135925,19275100
2017-12-25,65.760002,66.330002,65.440002,65.449997,63.630398,9823500
2018-01-01,65.910004,66.370003,63.880001,64.320000,62.531811,16120200
2018-01-08,64.190002,65.949997,62.250000,65.360001,63.542896,28695000
2018-01-15,65.510002,66.519997,64.110001,65.050003,63.241501,18742400
2018-01-22,64.860001,65.500000,59.250000,60.820000,59.129112,36337700
2018-01-29,60.540001,61.480000,58.660000,58.709999,57.077766,25142800
2018-02-05,58.020000,59.040001,54.009998,55.500000,53.957012,34849200
2018-02-12,56.139999,58.880001,55.709999,58.270000,56.650009,19771800
2018-02-19,58.080002,59.290001,57.200001,57.990002,56.377785,14359500
2018-02-26,58.750000,59.840000,57.029999,57.810001,56.202797,22932200
2018-03-05,57.680000,59.700001,57.189999,59.700001,58.040245,22686500
2018-03-12,59.880001,61.380001,59.209999,60.900002,59.333927,23845100
2018-03-19,60.669998,61.240002,56.349998,56.720001,55.261421,34882500
2018-03-26,57.500000,57.950001,55.869999,57.279999,55.807014,17721700
2018-04-02,57.189999,57.189999,53.790001,55.290001,53.868195,22264500
2018-04-09,55.630001,55.990002,53.500000,55.070000,53.653839,25772900
2018-04-16,55.299999,56.520000,53.209999,54.770000,53.361561,29218800
2018-04-23,54.840000,55.540001,51.000000,53.529999,52.153446,28119100
2018-04-30,53.619999,53.779999,51.580002,52.779999,51.422733,26784300
2018-05-07,52.799999,53.070000,51.259998,52.459999,51.110966,27210400
2018-05-14,52.509998,53.610001,51.439999,52.189999,50.847908,31325300
2018-05-21,52.450001,53.450001,50.200001,52.860001,51.500675,42168700
2018-05-28,52.619999,52.799999,50.630001,50.959999,49.649532,25161300
2018-06-04,51.130001,52.080002,49.930000,50.480000,49.181881,27805700
2018-06-11,50.959999,52.430000,50.580002,52.180000,50.996143,38514600
2018-06-18,51.830002,53.540001,51.169998,51.910000,50.732265,34528900
2018-06-25,51.610001,51.860001,50.180000,50.880001,49.725639,27866000
2018-07-02,50.630001,53.040001,50.500000,52.740002,51.543434,17835500
2018-07-09,52.900002,53.520000,51.630001,53.090000,51.885494,21610600
2018-07-16,53.389999,55.230000,52.750000,53.430000,52.217781,23602700
2018-07-23,53.259998,58.430000,51.660000,58.380001,57.055477,35962300
2018-07-30,58.080002,59.330002,55.610001,57.410000,56.107483,22257600
2018-08-06,57.209999,59.330002,57.099998,58.990002,57.651630,15532900
2018-08-13,59.049999,60.959999,58.520000,59.680000,58.325977,21281100
2018-08-20,59.950001,62.200001,59.889999,60.990002,59.606262,18167600
2018-08-27,61.160000,61.750000,60.540001,61.299999,60.065159,16601000
2018-09-03,61.430000,62.740002,60.660000,61.900002,60.653076,16807800
2018-09-10,61.900002,63.250000,61.250000,62.430000,61.172398,19018100
2018-09-17,62.669998,64.019997,62.110001,63.770000,62.485409,21279000
2018-09-24,63.340000,63.389999,61.119999,62.450001,61.191994,17803400
2018-10-01,62.610001,63.200001,60.590000,61.049999,59.820198,19192000
2018-10-08,60.900002,61.070000,56.430000,57.380001,56.224129,30643400
2018-10-15,57.220001,60.860001,57.180000,58.130001,56.959023,19436500
2018-10-22,58.139999,58.529999,48.330002,49.580002,48.581257,46455400
2018-10-29,49.930000,52.549999,47.099998,51.820000,50.776131,42961800
2018-11-05,51.669998,53.509998,51.060001,52.490002,51.432632,27991700
2018-11-12,52.400002,53.500000,51.540001,52.580002,51.520828,24644000
2018-11-19,52.750000,53.220001,51.330002,52.680000,51.618805,11562200
2018-11-26,53.049999,54.660000,52.169998,54.610001,53.509922,21826100
2018-12-03,54.900002,55.680000,51.139999,51.360001,50.325394,23760400
2018-12-10,51.540001,51.799999,49.360001,50.090000,49.225838,22980400
2018-12-17,49.840000,50.150002,45.770000,45.950001,45.157265,26842400
2018-12-24,45.560001,47.500000,44.279999,46.759998,45.953285,14128300
2018-12-31,46.939999,48.060001,44.610001,47.860001,47.034313,17053400
2019-01-07,47.840000,49.270000,46.900002,48.520000,47.682926,22140400
2019-01-14,48.180000,51.580002,47.700001,51.570000,50.680305,19677300
2019-01-21,51.250000,55.689999,50.060001,54.980000,54.031479,27227800
